GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pedido,com.fiap.pedido.infrastructure.controllers.gerenciadores,GerenciadorAutenticacao,12,83,1,1,0,25,2,3,1,3
pedido,com.fiap.pedido.infrastructure.controllers.enums,Category,0,27,0,0,0,5,0,1,0,1
pedido,com.fiap.pedido.infrastructure.persistence,ClientEntity,16,30,0,0,8,12,4,6,4,6
pedido,com.fiap.pedido.infrastructure.persistence,ProductEntity,8,65,0,0,4,27,2,14,2,14
pedido,com.fiap.pedido.infrastructure.persistence,OrderEntity,16,30,0,0,8,12,4,7,4,7
pedido,com.fiap.pedido.infrastructure.persistence,OrderItensEntity,7,36,0,0,3,16,2,8,2,8
pedido,com.fiap.pedido.infrastructure.controllers,ClientController,0,49,0,2,0,12,0,4,0,3
pedido,com.fiap.pedido.infrastructure.controllers,OrderController,0,76,0,4,0,17,0,6,0,4
pedido,com.fiap.pedido.infrastructure.controllers,ProductController,104,9,6,0,20,4,8,1,5,1
pedido,com.fiap.pedido.infrastructure.gateways,ProductEntityMapper,0,35,0,0,0,5,0,3,0,3
pedido,com.fiap.pedido.infrastructure.gateways,OrderEntityMapper,0,83,0,4,0,13,0,7,0,5
pedido,com.fiap.pedido.infrastructure.gateways,ProductRepositoryGateway,24,103,2,2,4,26,2,6,0,6
pedido,com.fiap.pedido.infrastructure.gateways,ClientRepositoryGateway,6,66,0,2,0,16,1,5,1,4
pedido,com.fiap.pedido.infrastructure.gateways,OrderRepositoryGateway,0,115,0,4,0,26,0,6,0,4
pedido,com.fiap.pedido.infrastructure.gateways,ClientEntityMapper,0,27,0,0,0,3,0,3,0,3
pedido,com.fiap.pedido.infrastructure.controllers.dto,ProductDTOMapper,0,35,0,0,0,5,0,3,0,3
pedido,com.fiap.pedido.infrastructure.controllers.dto,ProductDTO,0,66,0,0,0,28,0,14,0,14
pedido,com.fiap.pedido.infrastructure.controllers.dto,ClientDTO,0,46,0,0,0,19,0,10,0,10
pedido,com.fiap.pedido.infrastructure.controllers.dto,OrderDTOMapper,17,66,1,3,2,11,1,6,0,5
pedido,com.fiap.pedido.infrastructure.controllers.dto,OrderDTO,8,25,0,0,4,10,2,5,2,5
pedido,com.fiap.pedido.infrastructure.controllers.dto,ClientDTOMapper,12,15,0,0,1,2,1,2,1,2
pedido,com.fiap.pedido.infrastructure.controllers.dto,OrderItensDTO,0,45,0,0,0,20,0,9,0,9
pedido,com.fiap.pedido.entities,Order,0,21,0,0,0,1,0,4,0,4
pedido,com.fiap.pedido.entities,OrderItens,0,21,0,0,0,1,0,4,0,4
pedido,com.fiap.pedido.entities,Product,0,39,0,0,0,1,0,7,0,7
pedido,com.fiap.pedido.entities,Client,0,27,0,0,0,1,0,5,0,5
pedido,com.fiap.pedido,PedidoApplication,5,3,0,0,2,1,1,1,1,1
pedido,com.fiap.pedido.application.useCases,ProductInteractor,25,6,0,0,6,3,5,1,5,1
pedido,com.fiap.pedido.application.useCases,OrderInteractor,0,21,0,0,0,6,0,4,0,4
pedido,com.fiap.pedido.application.useCases,ClientInteractor,5,15,0,0,1,5,1,3,1,3
pedido,com.fiap.pedido.main,ClientConfig,0,22,0,0,0,5,0,5,0,5
pedido,com.fiap.pedido.main,ProductConfig,0,22,0,0,0,5,0,5,0,5
pedido,com.fiap.pedido.main,OrderConfig,0,23,0,0,0,5,0,5,0,5
